Season,Team Name,March Madness,Sweet Sixteen,Elite Eight,Final Four,Championship,Champions,Color,Location,,,
2023,UNC Asheville,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,East,,,
2023,Howard,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,West,,,
2022,Gonzaga,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,blue,West,,,
2022,Duke,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,blue,East,,,
2022,Texas Tech,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,red,South,,,
2022,Arkansas,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,red,South,,,
2022,UConn,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,East,,,
2022,Alabama,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,South,,,
2022,Michigan State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,green,Midwest,,,
2022,Boise State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,West,,,
2022,Memphis,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,South,,,
2022,Davidson,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,South,,,
2022,Rutgers,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,East,,,
2022,Notre Dame,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,Midwest,,,
2022,New Mexico State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,West,,,
2022,Vermont,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,green,East,,,
2022,Montana State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,West,,,
2022,Cal State Fullerton,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,orange,West,,,
2022,Georgia State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,South,,,
2022,Baylor,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,green,South,,,
2022,Kentucky,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,South,,,
2022,Purdue,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,yellow,Midwest,,,
2022,UCLA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,blue,South,,,
2022,Saint Mary's,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,South,,,
2022,Texas,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,orange,South,,,
2022,Murray State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,South,,,
2022,North Carolina,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,blue,South,,,
2022,Marquette,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,Midwest,,,
2022,San Francisco,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,green,West,,,
2022,Virginia Tech,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,orange,East,,,
2022,Wyoming,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,brown,West,,,
2022,Indiana,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,red,Midwest,,,
2022,Akron,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,Midwest,,,
2022,Yale,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,blue,East,,,
2022,Saint Peter's,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,blue,South,,,
2022,Norfolk State,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,green,South,,,
2022,Arizona,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,blue,West,,,
2022,Villanova,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,blue,East,,,
